parameter,dimension,mean,mode,median,hpd_min,hpd_max,mass_fraction,mutant
k_loop,1,0.0047363724994971415,0.004754337988906347,0.004720476641215812,0.0036514173199338174,0.005767416857797829,0.95,12SpacC1A
k_unloop,1,0.15367940677998337,0.15399102095459002,0.15247632848735115,0.10682658804586381,0.20109333824127035,0.95,12SpacC1A
p_loop,1,0.03023474836348194,0.029949461329440194,0.029856884308429824,0.02470495037987474,0.036884142020458914,0.95,12SpacC1A
p_cut,1,0.3874984741211533,0.3885242267805022,0.38649085681602285,0.2617496692840623,0.5143794522350971,0.95,12SpacC1A
f_loop,1,0.018528756875386878,0.018528974867280123,0.018528951006121466,0.01848220787300375,0.018576873415762373,0.95,12SpacC1A
r_cut,1,0.11102100128676687,0.11294014164531166,0.10843637043669475,0.05682785308431643,0.17389079389126397,0.95,V6-17
k_loop,1,0.007344108437007701,0.007441924623381071,0.007307706689541781,0.005132227588013582,0.009643453053461605,0.95,V6-17
k_unloop,1,0.2485312554222806,0.2513653877979926,0.2450604629079502,0.15777690220457066,0.34293415794885096,0.95,V6-17
p_loop,1,0.029022088587252106,0.028754692260258088,0.02863156643955702,0.023754491164462183,0.0350754965121627,0.95,V6-17
p_cut,1,0.3092906345223581,0.31001489825832623,0.3067199671075694,0.17180167574781727,0.4462948324581576,0.95,V6-17
f_loop,1,0.020016738397874326,0.020018764195883675,0.020016643562198243,0.01993837733816587,0.020101218866655706,0.95,V6-17
r_cut,1,0.04103760911535352,0.0401951831609741,0.0397905566541874,0.021187988450371478,0.06491051997486696,0.95,12SpacT9C
k_loop,1,0.013968458299981208,0.013589648054548738,0.013804581795428993,0.009708878393608419,0.0183356302552822,0.95,12SpacT9C
k_unloop,1,0.12465192103530973,0.1209746059557009,0.12300314468123115,0.08234783860939797,0.16936645025604355,0.95,12SpacT9C
p_loop,1,0.10136420686097107,0.10099003003809336,0.10036162456138639,0.08778771485059585,0.11672066008011207,0.95,12SpacT9C
p_cut,1,0.24810330057800553,0.24939651147570688,0.24426852165203305,0.132032246479379,0.36747419817345495,0.95,12SpacT9C
f_loop,1,0.07775081742247777,0.07776202690120838,0.07775052021200177,0.07758889986228985,0.07792296350359289,0.95,12SpacT9C
r_cut,1,0.07203847935650043,0.07203345328660632,0.07087463716725068,0.039840016814429766,0.10493111758089411,0.95,12NonA5T
k_loop,1,0.005233739752604786,0.005265413983155823,0.005194373616942825,0.0039841697773110776,0.006636113620260029,0.95,12NonA5T
k_unloop,1,0.18755840005542324,0.18913089179277168,0.1855150276380189,0.13509753041381503,0.24408999972555548,0.95,12NonA5T
p_loop,1,0.027299231948301146,0.027085977596843048,0.027098800518919296,0.02333223235511676,0.031136877393689543,0.95,12NonA5T
p_cut,1,0.2774354433065327,0.27581656778115154,0.275903980958204,0.17499103137713798,0.384536040139001,0.95,12NonA5T
f_loop,1,0.01976252248975635,0.01976285983098448,0.019762357193386225,0.01971501220526776,0.019808776943239834,0.95,12NonA5T
r_cut,1,0.25021895896243246,0.2477621581164232,0.2397232082212774,0.09213729928684575,0.4376496857907853,0.95,12SpacT9G
k_loop,1,0.0024493427480788755,0.002398670381141672,0.0023879228035236415,0.0010667208336805408,0.0038150907669082124,0.95,12SpacT9G
k_unloop,1,0.14559934743444652,0.1398089004340348,0.13555446217214162,0.026246565380129892,0.29315574389241794,0.95,12SpacT9G
p_loop,1,0.020085585122342688,0.016867388757094814,0.017073917235800165,0.007534252798490994,0.040827388306177714,0.95,12SpacT9G
p_cut,1,0.6328702609301622,0.6392689873260157,0.6444319505732015,0.3613452047732368,0.899084638147556,0.95,12SpacT9G
f_loop,1,0.006149977861368327,0.006150914297151502,0.006149894533879171,0.006095411869062269,0.006203603725416532,0.95,12SpacT9G
r_cut,1,0.07814945573065751,0.07714249781488429,0.07579028464582975,0.030426584295147375,0.1233236221223096,0.95,12HeptG7C
k_loop,1,0.004667446845164455,0.004628935001334474,0.004613562176862896,0.0030872894269136073,0.006482911131296726,0.95,12HeptG7C
k_unloop,1,0.15003911800350347,0.1491560201273691,0.14753231436222625,0.0877802259149683,0.21602053632432414,0.95,12HeptG7C
p_loop,1,0.030654292944171335,0.0301000510580537,0.030124247408474327,0.024123570188536936,0.03865587848536091,0.95,12HeptG7C
p_cut,1,0.3424997731763322,0.34088821489573096,0.34137742069053745,0.17978670391259055,0.49801728361032616,0.95,12HeptG7C
f_loop,1,0.020044268840082917,0.020044974914547098,0.020044396843283636,0.019968318415165904,0.020117854527315886,0.95,12HeptG7C
r_cut,1,0.6212255121101927,0.6805136005566848,0.5348783344411403,0.02332025722120674,1.430418970960085,0.95,12HeptT6A
k_loop,1,0.00026430507101903755,0.000271084455475313,0.00025681362511853023,9.625541687161899e-05,0.0004670881728906538,0.95,12HeptT6A
k_unloop,1,1.1338335340492167,1.1186604507206845,1.085515676100059,0.19472257452988767,2.017049580385412,0.95,12HeptT6A
p_loop,1,0.00025253447014265387,0.00024227081546382065,0.00022803816122749085,0.00015151271665271693,0.0004335296223703161,0.95,12HeptT6A
p_cut,1,0.34815389733120383,0.37823666925028004,0.3397284741343911,0.05525302540054719,0.6744101591777634,0.95,12HeptT6A
f_loop,1,0.0001505870530021754,0.00015064891398587196,0.00015053808265080385,0.00014562957150572841,0.0001561942243084801,0.95,12HeptT6A
r_cut,1,0.13454825203234339,0.13594292490354778,0.13040622500355403,0.062389800553724034,0.21631781658311672,0.95,12SpacA7G
k_loop,1,0.003630887370743821,0.003751141819985547,0.0035540140179325273,0.00224598600308157,0.005189231954734407,0.95,12SpacA7G
k_unloop,1,0.15471427267241827,0.16287028032850467,0.15031576212898431,0.07663222876769404,0.24174839003464313,0.95,12SpacA7G
p_loop,1,0.02373822246860028,0.02251296244874559,0.022974520743240436,0.016077901629417125,0.03311765115552286,0.95,12SpacA7G
p_cut,1,0.46516924590686765,0.4549428289087063,0.4658219901649643,0.27843461063864655,0.6549037478804316,0.95,12SpacA7G
f_loop,1,0.012396437987826105,0.012397831590317508,0.012396837123398657,0.012340538809935502,0.012453086378957569,0.95,12SpacA7G
r_cut,1,0.06948137410194767,0.06939956095926006,0.0669926476790649,0.02664272055084607,0.11499310278657532,0.95,12SpacC4G
k_loop,1,0.004172350203225282,0.004123313633846919,0.004156281982664858,0.002979413227309727,0.005362790946400175,0.95,12SpacC4G
k_unloop,1,0.2791577284670851,0.2751117448455874,0.2760354326081875,0.19291363699928388,0.37049080998038575,0.95,12SpacC4G
p_loop,1,0.0148022464114831,0.0147664611180999,0.014656741513364293,0.012803467489643155,0.016992718146312067,0.95,12SpacC4G
p_cut,1,0.19920571930596942,0.20144349340619977,0.19542240674406886,0.09186285609371744,0.31815238171697396,0.95,12SpacC4G
f_loop,1,0.011825982065730198,0.011827034390576299,0.011825834543128293,0.011779982293852931,0.011872761115340125,0.95,12SpacC4G
r_cut,1,0.06341842565412233,0.06306596050993334,0.06272935206614302,0.04198361089076755,0.08612684005468958,0.95,V19-93
k_loop,1,0.005203018427761464,0.005210903752237435,0.005169029259669096,0.003824525936551433,0.006403389843161352,0.95,V19-93
k_unloop,1,0.07227186757115742,0.07284138262391361,0.07156948119971057,0.04950880359594457,0.09639170553857754,0.95,V19-93
p_loop,1,0.06791637115272905,0.06676170544351448,0.06702644566467822,0.05518901293031278,0.08309766785945387,0.95,V19-93
p_cut,1,0.4673839720327214,0.4640364461236173,0.46629194045097816,0.35041524338185187,0.5824472724168974,0.95,V19-93
f_loop,1,0.036928837602297586,0.03692579710435221,0.03692846093846125,0.036853783002575025,0.036999494153229784,0.95,V19-93
r_cut,1,0.11388779893942166,0.11690895304312716,0.10822049251461041,0.042393854480434104,0.19623969625147927,0.95,12SpacA12C
k_loop,1,0.003288950600965925,0.003328156247788319,0.0032290026410626113,0.0020119542789868573,0.004773207865861877,0.95,12SpacA12C
k_unloop,1,0.15731445411114484,0.1576056049648338,0.15248561653756637,0.06327802370039047,0.2436463700864656,0.95,12SpacA12C
p_loop,1,0.021283030054199615,0.020680286241438382,0.02027935644360901,0.01457136278643483,0.030891335608614942,0.95,12SpacA12C
p_cut,1,0.4191426900409862,0.42587523915484576,0.41428162206269353,0.2024161622052631,0.6314035205971549,0.95,12SpacA12C
f_loop,1,0.011981960615557636,0.011978562247721241,0.01198151870445198,0.011920431297032429,0.012048231201560683,0.95,12SpacA12C
r_cut,1,0.05382912406661379,0.05330762877723422,0.05061618345127829,0.021224259094310003,0.09710095534096605,0.95,12NonA4T
k_loop,1,0.0019164763133458498,0.0018943932242071813,0.0018709918199002113,0.0010543060109682997,0.002856375098965323,0.95,12NonA4T
k_unloop,1,0.06217352486062722,0.061357980294127035,0.0599431706868917,0.024490424107986977,0.10523927616878682,0.95,12NonA4T
p_loop,1,0.03171424241168212,0.029949757121099593,0.029762441253477878,0.019480059309688557,0.048260963152655705,0.95,12NonA4T
p_cut,1,0.4642033285839341,0.4648963992687522,0.4610893515476917,0.22847325836739532,0.6932116658647157,0.95,12NonA4T
f_loop,1,0.016252475842360472,0.016252515330288438,0.016252342972463946,0.01619163605946263,0.016314885309748093,0.95,12NonA4T
r_cut,1,0.08367522319066116,0.08466377410318796,0.08342435269896656,0.0612025680760665,0.10745747502180164,0.95,12SpacC4T
k_loop,1,0.011269390663132223,0.011340768976280629,0.011247796378425413,0.009538877576149907,0.013060885904304993,0.95,12SpacC4T
k_unloop,1,0.17645739845189676,0.177123574578026,0.17576636590906408,0.14243399151818337,0.2102271109467622,0.95,12SpacC4T
p_loop,1,0.06020601870497309,0.06017461320481955,0.05998277885736103,0.053679189873096,0.06655399279414112,0.95,12SpacC4T
p_cut,1,0.3217096918835765,0.32340666777708,0.3210535344916116,0.2514162732607588,0.40296661596405686,0.95,12SpacC4T
f_loop,1,0.04152302127384611,0.04152179231323985,0.04152285807441392,0.04144360245569121,0.04160374453040697,0.95,12SpacC4T
r_cut,1,0.10874053661204329,0.10537928803362817,0.10260589779476273,0.03138120828878634,0.1960845244020572,0.95,12SpacC8T
k_loop,1,0.00310889438863759,0.0030787522195711734,0.0030427770744805307,0.0016517072691239398,0.004561927846116466,0.95,12SpacC8T
k_unloop,1,0.18007711659386705,0.1807379901174375,0.17377992828964842,0.08188332878749248,0.28437061895645593,0.95,12SpacC8T
p_loop,1,0.01759459611660781,0.016749030476922527,0.016754033303905555,0.012245375576935048,0.025404286527019992,0.95,12SpacC8T
p_cut,1,0.375134958286543,0.3683080194059076,0.36900072584766064,0.15563050537060608,0.6011715321746753,0.95,12SpacC8T
f_loop,1,0.01064959257315372,0.01064590069104825,0.010649154873455611,0.010589210067128577,0.010714675654368611,0.95,12SpacC8T
r_cut,1,0.7143534068296952,0.7682895150791779,0.5994412454761266,0.002044088457858308,1.7643423445802786,0.95,12HeptT6AG7C
k_loop,1,0.0002341509872108003,0.00025779792523898264,0.00022155852089448416,7.001215105810107e-05,0.000409508052168306,0.95,12HeptT6AG7C
k_unloop,1,1.1837780958773005,1.3212968735615642,1.1146022293090567,0.13794140028663773,2.258207027526947,0.95,12HeptT6AG7C
p_loop,1,0.00023854949308276796,0.00019507170668085143,0.00018776694907465206,0.0001193147763342502,0.0005254915464672042,0.95,12HeptT6AG7C
p_cut,1,0.36263831976475625,0.36767540181908615,0.342087445587157,0.001692435518780712,0.7621325385730664,0.95,12HeptT6AG7C
f_loop,1,0.0001233592385087509,0.00012335748612081677,0.00012332039505006255,0.00011700009270586077,0.00012967357570919268,0.95,12HeptT6AG7C
r_cut,1,0.09056237591235677,0.09163160782597404,0.08850796550027212,0.04894904937139857,0.13854491769103397,0.95,12SpacA7C
k_loop,1,0.006826255337174561,0.006786675411651251,0.006791196902942356,0.004665184393764399,0.0089173280987716,0.95,12SpacA7C
k_unloop,1,0.1313904955569868,0.12899309203799128,0.13022200198010808,0.07986262935923068,0.1865981998696478,0.95,12SpacA7C
p_loop,1,0.050246661122895886,0.049982965349887394,0.04913202685329347,0.039044374780682525,0.06505176183949941,0.95,12SpacA7C
p_cut,1,0.4080661388518099,0.41532796591892496,0.4052316913093985,0.2548448518109139,0.5666762210250992,0.95,12SpacA7C
f_loop,1,0.029837780621602757,0.029843165951685485,0.02983793167160806,0.029738347609401222,0.029940886415912246,0.95,12SpacA7C
r_cut,1,0.13391175355174081,0.13429566392579861,0.1331822409186477,0.10729456436957222,0.158929608720685,0.95,WT12rss
k_loop,1,0.007773994704165337,0.00781759390305109,0.007765917673947487,0.006945893443469149,0.008540529487581654,0.95,WT12rss
k_unloop,1,0.19203830684421314,0.19348885902502885,0.19168349972769777,0.16041608946449676,0.22135235479320967,0.95,WT12rss
p_loop,1,0.03903791522820657,0.038834293632127405,0.038892943467779155,0.0347992906288797,0.04371404159385025,0.95,WT12rss
p_cut,1,0.41090068962958765,0.40970715370214394,0.4105461717466745,0.3395629966024601,0.47908955908789386,0.95,WT12rss
f_loop,1,0.023294683312231303,0.023294232993336206,0.023294770737020604,0.023263580317542713,0.02332393109307561,0.95,WT12rss
r_cut,1,0.02249210301594625,0.022958085134922514,0.020655782137349064,0.003534721123052082,0.04362980362628787,0.95,V5-43
k_loop,1,0.002816616093113767,0.002827709953271058,0.002779049114831624,0.0017353421211858395,0.004004943254701182,0.95,V5-43
k_unloop,1,0.11827975703882875,0.11836185423118067,0.11629354892739449,0.0665002424733579,0.1686058810984772,0.95,V5-43
p_loop,1,0.02343794400326243,0.02333294927084031,0.023017615768109095,0.020238103919769376,0.02772626413670266,0.95,V5-43
p_cut,1,0.1599266186843886,0.16245467722320017,0.15095983030120597,0.04333884764151516,0.30884053260943567,0.95,V5-43
f_loop,1,0.019615961964288546,0.01961676077704167,0.019616305036933783,0.01955015442777377,0.019682020727140752,0.95,V5-43
r_cut,1,0.012864633476809767,0.012150142152752695,0.011059450156345763,0.0004111694761878554,0.030900375919478567,0.95,V6-15
k_loop,1,0.0037092240735293824,0.0036183345980647435,0.0036557668501966886,0.0025089777207885178,0.0049456109543769165,0.95,V6-15
k_unloop,1,0.21383892080326486,0.20899441731790408,0.21074035446116973,0.1417638769466454,0.28692055845060044,0.95,V6-15
p_loop,1,0.017076114759937984,0.017018427001475538,0.01690973200162757,0.016113444869315725,0.01848018483459673,0.95,V6-15
p_cut,1,0.056650082146281394,0.05494208033801923,0.048793137450458754,0.002728588301157827,0.13151733792198764,0.95,V6-15
f_loop,1,0.016098276877663017,0.01609845171756168,0.016098230574102822,0.0160422226911437,0.016155096606379257,0.95,V6-15
r_cut,1,0.010576992354011841,0.010462768471955274,0.008971015052475953,0.00042522905959365705,0.024852675997967394,0.95,12HeptC3G
k_loop,1,0.003590385361654474,0.003578474228904356,0.003563072914184666,0.002796828252006595,0.004399814749926153,0.95,12HeptC3G
k_unloop,1,0.3264542551352924,0.3253859419551018,0.3241428470820894,0.2545132337931711,0.4020718149850769,0.95,12HeptC3G
p_loop,1,0.010882641471626625,0.010877997901459158,0.010825587063992313,0.010547727078545172,0.01134506820718181,0.95,12HeptC3G
p_cut,1,0.03128636699904564,0.0311532191344462,0.026590730311413784,0.0016012711667600622,0.07124136229692767,0.95,12HeptC3G
f_loop,1,0.010540683905990172,0.010542686003572303,0.01054081446127571,0.01050409377847334,0.010575196689681538,0.95,12HeptC3G
r_cut,1,0.07275309667034266,0.07592794069384408,0.06112108898217519,0.001982374185191739,0.16705635713802766,0.95,DFL161
k_loop,1,0.0010156156184007088,0.0010434895092253258,0.0009940414984801187,0.0005083937728452369,0.0015574387835570558,0.95,DFL161
k_unloop,1,0.4026096890586176,0.41246193584611596,0.39309383249192664,0.18401362707979985,0.6287292004393419,0.95,DFL161
p_loop,1,0.0025546841636165155,0.002523520721230235,0.002464179363324902,0.00213792993765211,0.0031899335010298533,0.95,DFL161
p_cut,1,0.15371552189786053,0.15546583649882773,0.13477782826270668,0.005327099653611653,0.33257690361415815,0.95,DFL161
f_loop,1,0.0021319612900469543,0.0021320359043941048,0.002132005310470626,0.002114294710146842,0.0021508344941768617,0.95,DFL161
r_cut,1,0.010392529107960163,0.010300221990764281,0.009325560917055609,0.0009033619170637498,0.02181220552508577,0.95,12HeptC3T
k_loop,1,0.005493964218363702,0.005492155450421957,0.005467778032473977,0.004112582955092428,0.006807818949830163,0.95,12HeptC3T
k_unloop,1,0.19715430168481704,0.19719842107718805,0.1962328486077508,0.14998074074714218,0.2485298460408721,0.95,12HeptC3T
p_loop,1,0.027134613314585616,0.02709625452011988,0.026985076451190616,0.025892105480739648,0.028614040437420694,0.95,12HeptC3T
p_cut,1,0.0501302827560452,0.049639948668922775,0.04549415208404086,0.0049420382663485805,0.10197688913468031,0.95,12HeptC3T
f_loop,1,0.025788513428794395,0.025785881308615123,0.025788913556748446,0.025723676312469055,0.025861360378933315,0.95,12HeptC3T
r_cut,1,0.22692522455688185,0.2313173688273609,0.22228843982436516,0.13641535579577752,0.324388739012174,0.95,12SpacG10T
k_loop,1,0.013024374239540603,0.013299682934610273,0.012838306990279984,0.008460598424187938,0.01813506957030795,0.95,12SpacG10T
k_unloop,1,0.07023512592605925,0.07219888096526993,0.06601986329270937,0.022914136037555943,0.1317414379151651,0.95,12SpacG10T
p_loop,1,0.17158809378284018,0.15555445995776437,0.1615205832120043,0.08669397006336538,0.27937276588457777,0.95,12SpacG10T
p_cut,1,0.7642507372476237,0.7621251547006204,0.7727770606850853,0.6030880893625522,0.9107154414495913,0.95,12SpacG10T
f_loop,1,0.04198901974694145,0.04197921114674646,0.04198986639544673,0.041773525116956076,0.0421680931329685,0.95,12SpacG10T
r_cut,1,0.05688195372697936,0.05600117566572488,0.05591230336885952,0.037256275275048864,0.07867396451246442,0.95,12HeptG7A
k_loop,1,0.009898635393938203,0.009920958985775075,0.009889751563789236,0.007939649205273635,0.011991597407257592,0.95,12HeptG7A
k_unloop,1,0.1462930085352374,0.14763805529302915,0.14584981080223874,0.11341055119947807,0.18195284769493508,0.95,12HeptG7A
p_loop,1,0.06359187333811755,0.0629666225774916,0.06322634407372836,0.05758851017912003,0.07183219817206206,0.95,12HeptG7A
p_cut,1,0.2800675151340658,0.27500190116641915,0.2779775664874925,0.2034695100666869,0.37127005268969077,0.95,12HeptG7A
f_loop,1,0.046456441570741434,0.04645509534502653,0.0464555172856488,0.04639271849720058,0.04653233044823659,0.95,12HeptG7A
r_cut,1,0.09214997684987937,0.0905610914839567,0.08917459909770678,0.03890467380455861,0.1509044058376031,0.95,12SpacG11C
k_loop,1,0.003730052614220176,0.003665860420547974,0.0037028192166451987,0.002441138945937373,0.00496598020850474,0.95,12SpacG11C
k_unloop,1,0.22517332474740248,0.22131934197983477,0.22324451991092079,0.13787465314744715,0.3189401630297922,0.95,12SpacG11C
p_loop,1,0.01652049317897529,0.016293784575326088,0.016209074571940905,0.013086352137490672,0.02043162545786842,0.95,12SpacG11C
p_cut,1,0.2906228149256293,0.29037118641324006,0.28652166480859287,0.1413163573186394,0.45509141888947385,0.95,12SpacG11C
f_loop,1,0.011618177354441194,0.011617504282562294,0.01161806435762442,0.011563043040213928,0.011668337179583712,0.95,12SpacG11C
r_cut,1,0.1639658286032849,0.15860306063312493,0.16044835606378613,0.07785624385209916,0.25490219237658635,0.95,12NonC9T
k_loop,1,0.008725917392594389,0.008669872834155632,0.00857851355858041,0.005539329568203038,0.012296077571954622,0.95,12NonC9T
k_unloop,1,0.1501580498805464,0.153505421152199,0.14362293383959696,0.07702945237965139,0.24148262555746297,0.95,12NonC9T
p_loop,1,0.057165521501632253,0.05345988665132379,0.05522951633803183,0.03751648729825802,0.08174990607212457,0.95,12NonC9T
p_cut,1,0.5219070293239919,0.5081664545797769,0.5246518249961101,0.3371860758969002,0.7160618816514817,0.95,12NonC9T
f_loop,1,0.02702780296823653,0.027027611773993262,0.027028265341867107,0.026928042562769115,0.02713207781377671,0.95,12NonC9T
r_cut,1,0.019341160036292968,0.019664228229099783,0.01845217110841923,0.008492303958161241,0.03386697405161294,0.95,12HeptG7T
k_loop,1,0.005546167110769924,0.005568411813367545,0.005520100712393181,0.004186945458833747,0.007148186756358347,0.95,12HeptG7T
k_unloop,1,0.11189461314126768,0.11210944507059657,0.1110092623254681,0.08016956759612176,0.14334550417691677,0.95,12HeptG7T
p_loop,1,0.04736585241099612,0.04731911304994498,0.046927732946511966,0.04290861133716153,0.052551425534229125,0.95,12HeptG7T
p_cut,1,0.14737547716103894,0.14922729052545197,0.14179976435080432,0.06527766707148806,0.24537089518897656,0.95,12HeptG7T
f_loop,1,0.0405473872085188,0.040544104225470806,0.04054782138109076,0.04046396698437426,0.04063640042277534,0.95,12HeptG7T
r_cut,1,0.0859367595449517,0.08762422847026513,0.0853619501367427,0.05797322206667391,0.11575468851579665,0.95,12SpacG10A
k_loop,1,0.00553064768278859,0.0055544245919183595,0.005509618215921919,0.004265601311503476,0.006779384947809926,0.95,12SpacG10A
k_unloop,1,0.10587918102908547,0.10500896993253256,0.10588253607969841,0.07573999008963848,0.14026575256168858,0.95,12SpacG10A
p_loop,1,0.05014830664709666,0.050237464359779646,0.04960250158249298,0.04087700462985878,0.0605494608639529,0.95,12SpacG10A
p_cut,1,0.4480186646553103,0.45487605042533796,0.44749551634574125,0.34135145620653057,0.567587138953581,0.95,12SpacG10A
f_loop,1,0.028025040371210928,0.028026092184709476,0.028024796949548875,0.027958719342507,0.028085120990215744,0.95,12SpacG10A
r_cut,1,0.045410921088673985,0.04719839518838922,0.042385197608032624,0.007967002706808259,0.08767971537328005,0.95,12HeptG5A
k_loop,1,0.003187893666438103,0.003288583482867685,0.0031372502062027496,0.0018265218839311143,0.004775183841974285,0.95,12HeptG5A
k_unloop,1,0.13610839472395644,0.14000421817068498,0.13273398979810996,0.0656423853627834,0.2101424081516808,0.95,12HeptG5A
p_loop,1,0.023361314658478852,0.022950095503182947,0.0225613020392759,0.018110543177908982,0.03028060318440856,0.95,12HeptG5A
p_cut,1,0.25064517266388103,0.25212465970150616,0.23934787959512313,0.06989160260058457,0.45230586793092886,0.95,12HeptG5A
f_loop,1,0.017259202116009825,0.017263703191472694,0.017259215772307962,0.017181703360002992,0.01734197608300706,0.95,12HeptG5A
r_cut,1,0.07219026279153953,0.07164556847316014,0.07173014562910805,0.050584458512114745,0.09200343956337166,0.95,12NonA1G
k_loop,1,0.007940862958375839,0.007886785897618263,0.007941188919882495,0.006601840474697513,0.009463475563432869,0.95,12NonA1G
