parameter,dimension,mean,mode,median,hpd_min,hpd_max,mass_fraction,mutant
pcut,1,0.26726884349697927,0.2621109942260099,0.2655979827603672,0.16391591260921515,0.37541530209435686,0.95,12NonA5T
pcut,1,0.27484732195352135,0.26935465631537414,0.27104717432634695,0.14101972295776602,0.3976451377091826,0.95,12NonC8G
pcut,1,0.2936403375766568,0.28217077610996166,0.29012522753998393,0.10197660554945034,0.4558100594265578,0.95,12NonC8T
pcut,1,0.5014746085529084,0.49161961800564313,0.5013347234613696,0.3068807748681758,0.7012013651820284,0.95,12NonC9T
pcut,1,0.39218669341077683,0.37640832653266515,0.3876411244949839,0.18741843189653593,0.6103033248212425,0.95,12SpacA12C
pcut,1,0.40206389183002794,0.39257120548469965,0.4004861605895209,0.23648665320234605,0.5792587348012751,0.95,12SpacA12T
pcut,1,0.32359430486649715,0.3193043196791693,0.3210436365414185,0.19021609351085217,0.4571965149547848,0.95,12SpacA3G
pcut,1,0.5792618426386807,0.5749206484989283,0.5841678829909471,0.3966379133567184,0.7407353028323069,0.95,12SpacA3T
pcut,1,0.3990577069772686,0.38901625891408453,0.39813573838255034,0.23782372696481396,0.5490700058373164,0.95,12SpacA7C
pcut,1,0.4383510436272286,0.4253743755060386,0.4371453233941199,0.23790526583873697,0.6275109597282381,0.95,12SpacA7G
pcut,1,0.37886866828638427,0.3731616338177048,0.37778665937618205,0.24913331964659463,0.5146698708407129,0.95,12SpacC1A
pcut,1,0.627517572580404,0.6229646677231295,0.6324112306782094,0.4114239896483022,0.8310788649412131,0.95,12SpacC1G
pcut,1,0.18687810950897318,0.17702118129741184,0.18131002043980954,0.07527222823522817,0.29391428820654475,0.95,12SpacC4G
pcut,1,0.3173015542463213,0.31566949085343576,0.3175566043274112,0.24347498803301987,0.39260218191531543,0.95,12SpacC4T
pcut,1,0.33777963532389255,0.3180560155603304,0.3281591151349217,0.12900919246177803,0.5624517180048261,0.95,12SpacC8T
pcut,1,0.4379331761555931,0.4371531162833021,0.4388658553820327,0.33108955549302177,0.5589688077887525,0.95,12SpacG10A
pcut,1,0.5528480128385483,0.5503916421459673,0.5534258630714292,0.39620860602699703,0.7152645476110739,0.95,12SpacG10C
pcut,1,0.560052373194105,0.5526148466453804,0.563781020858318,0.36947079744272304,0.7478860146110707,0.95,12SpacG10CG11A
pcut,1,0.7592867220131306,0.7554975065462597,0.7635111095075802,0.5967760727992475,0.9070831253784953,0.95,12SpacG10T
pcut,1,0.37906944859158376,0.3756766503015704,0.3763211363378396,0.22448588873851508,0.5430991641520045,0.95,12SpacG11A
pcut,1,0.2672856156431367,0.2590983399873793,0.26138975398977315,0.1184657470155204,0.4177796279851926,0.95,12SpacG11C
pcut,1,0.28950081335687694,0.28932113069618537,0.28932297950167707,0.2372774282694893,0.3381711806550851,0.95,12SpacG11T
pcut,1,0.3602243601913589,0.35698307672284607,0.3588275379413075,0.24831084772476453,0.4633572558585282,0.95,12SpacG6A
pcut,1,0.4220501588181396,0.4190368645457752,0.41921313380835246,0.323213478388932,0.5353164312180418,0.95,12SpacG6T
pcut,1,0.48697784967416247,0.47385162042763096,0.48440210268932826,0.3085744182749084,0.6691183128284771,0.95,12SpacT9A
pcut,1,0.2385841926974231,0.23089470371244875,0.2344738957768538,0.12225615059701327,0.3501275694829441,0.95,12SpacT9C
pcut,1,0.5988051857038232,0.5824594912761487,0.6045942248073858,0.328427510973771,0.8865958948037099,0.95,12SpacT9G
pcut,1,0.09745341966605636,0.07258196778542284,0.07675998406698153,0.0013818301978895178,0.25741163282173907,0.95,DFL161
pcut,1,0.4852434488923856,0.48195890693390325,0.4847471603697491,0.3452560991584129,0.6394618420204466,0.95,DFL1613
pcut,1,0.3300958416512936,0.3241235787808683,0.3275202669912831,0.21569493476502358,0.44011098507502705,0.95,V1-135
pcut,1,0.4333642620535554,0.4129143630890987,0.42982720445782074,0.18367246984794597,0.6660332393876864,0.95,V10-95
pcut,1,0.324839344392273,0.3168382132186418,0.32225326640221563,0.16561073706261276,0.48870642289634275,0.95,V10-96
pcut,1,0.4602030606692417,0.456978070285246,0.46029234480582215,0.3371540422209497,0.5877720086610108,0.95,V19-93
pcut,1,0.3926476966697627,0.38158826441398186,0.3908849452771928,0.1963849750207154,0.5795344938017291,0.95,V4-55
pcut,1,0.12785799709657875,0.11765342360823026,0.1180966910125815,0.022375622253769847,0.25842202839491285,0.95,V5-43
pcut,1,0.03436840940736285,0.027830667002699302,0.02676376945494082,0.00045284122273780086,0.0917661577719933,0.95,V6-15
pcut,1,0.2922575046657275,0.28344752519201644,0.28925024892032275,0.15027070833732162,0.4305143277241127,0.95,V6-17
pcut,1,0.03500533640738158,0.009993998158354132,0.012924743426632562,3.8284632285457966e-07,0.14877641420075946,0.95,V8-18
pcut,1,0.46609522590577623,0.4620416400005915,0.4663018602354668,0.3284255938561088,0.6105570780726172,0.95,V9-120
pcut,1,0.408114832220068,0.40724510810177256,0.4071852912680662,0.3405370778559672,0.4827217999628954,0.95,WT12rss
